id,pred_category,pred_operational_domain,pred_region
s528,operations,cyber,middle-east
s424,operations,air,americas
s393,industry,air,americas
s479,operations,land,americas
s497,policy,cyber,americas
s315,policy,cyber,global
s538,operations,multi,europe
s398,policy,multi,global
s336,operations,air,indo-pacific
s461,operations,sea,indo-pacific
s524,operations,cyber,middle-east
s523,operations,cyber,indo-pacific
s399,operations,multi,americas
s306,operations,space,americas
s339,operations,air,indo-pacific
s322,operations,cyber,americas
s409,operations,multi,europe
s440,operations,land,americas
s582,operations,land,europe
s365,policy,multi,middle-east
s560,operations,land,americas
s404,policy,multi,global
s535,operations,land,middle-east
s407,policy,multi,global
s507,operations,air,americas
s565,operations,land,americas
s429,operations,multi,americas
s513,operations,cyber,americas
s340,operations,air,middle-east
s422,operations,air,americas
s531,operations,land,middle-east
s508,operations,cyber,middle-east
s475,operations,land,middle-east
s562,operations,land,americas
s415,operations,air,indo-pacific
s492,operations,land,europe
s518,operations,air,middle-east
s577,operations,land,americas
s408,policy,multi,global
s589,operations,land,americas
s416,operations,sea,americas
s586,operations,land,americas
s544,operations,land,americas
s389,policy,cyber,global
s366,policy,land,americas
s520,operations,cyber,americas
s313,policy,cyber,global
s377,policy,land,americas
s585,operations,land,americas
s563,operations,land,americas
s496,operations,air,americas
s581,operations,land,americas
s392,policy,multi,europe
s537,operations,multi,americas
s460,operations,multi,indo-pacific
s484,operations,air,europe
s556,operations,land,middle-east
s323,operations,cyber,americas
s417,operations,multi,americas
s467,operations,sea,indo-pacific
s590,operations,land,americas
s394,policy,space,global
s462,operations,sea,americas
s310,operations,space,americas
s517,operations,space,global
s381,policy,multi,global
s498,operations,cyber,indo-pacific
s318,operations,cyber,americas
s569,operations,land,americas
s468,operations,air,americas
s331,procurement,air,global
s526,operations,cyber,europe
s477,operations,multi,indo-pacific
s413,operations,air,middle-east
s509,operations,cyber,middle-east
s437,operations,land,americas
s427,operations,air,americas
s383,policy,multi,americas
s380,technology,air,indo-pacific
s558,operations,land,middle-east
s356,operations,air,middle-east
