id,pred_category,pred_operational_domain,pred_region
s124,policy,cyber,americas
s191,operations,multi,americas
s219,operations,land,europe
s095,operations,cyber,americas
s209,operations,land,americas
s259,technology,multi,global
s189,operations,land,global
s205,operations,air,americas
s069,operations,space,americas
s272,technology,multi,americas
s111,operations,cyber,global
s250,technology,air,americas
s232,operations,air,middle-east
s004,operations,sea,indo-pacific
s001,operations,sea,europe
s096,technology,cyber,global
s285,technology,multi,americas
s087,operations,cyber,americas
s094,operations,cyber,americas
s138,policy,multi,global
s225,operations,land,middle-east
s024,operations,sea,europe
s171,technology,air,global
s127,procurement,land,global
s167,operations,air,middle-east
s157,procurement,air,global
s070,technology,space,americas
s054,operations,space,americas
s190,operations,multi,indo-pacific
s110,operations,cyber,americas
s109,policy,cyber,global
s204,operations,land,americas
s115,policy,cyber,global
s089,operations,cyber,americas
s081,operations,cyber,americas
s030,operations,sea,europe
s082,policy,cyber,global
s288,technology,land,global
s271,technology,air,americas
s212,operations,land,middle-east
s273,technology,land,global
s009,operations,sea,europe
s193,operations,air,americas
s152,policy,air,americas
s141,procurement,cyber,global
s210,operations,land,middle-east
s048,operations,sea,americas
s100,operations,cyber,americas
s290,technology,multi,americas
s066,operations,space,global
s253,technology,air,americas
s034,operations,sea,americas
s056,policy,cyber,global
s163,operations,air,europe
s203,operations,land,americas
s188,operations,land,americas
s297,technology,cyber,americas
s270,technology,air,global
s277,technology,sea,americas
s260,policy,multi,americas
s245,operations,space,americas
s255,technology,air,americas
s287,technology,multi,global
s017,operations,sea,europe
s244,operations,air,americas
s036,operations,sea,americas
s073,operations,space,americas
s156,operations,air,europe
s180,technology,air,americas
s229,operations,multi,americas
s033,operations,sea,americas
s108,operations,cyber,americas
s261,technology,air,americas
s256,technology,air,global
s300,technology,cyber,americas
s278,technology,land,americas
s172,operations,air,africa
s099,operations,cyber,global
s130,procurement,air,global
s059,operations,space,americas
s088,operations,cyber,global
s284,technology,land,global
s107,operations,cyber,global
s281,technology,multi,americas
s151,procurement,land,global
s076,operations,cyber,americas
s120,operations,cyber,americas
s011,operations,air,middle-east
s040,operations,sea,americas
s158,operations,air,americas
s112,operations,cyber,americas
s173,operations,air,americas
s224,operations,land,americas
s177,procurement,air,americas
s174,technology,air,americas
s038,operations,sea,indo-pacific
s126,procurement,air,global
s092,operations,cyber,americas
s135,policy,multi,americas
s117,technology,air,middle-east
s274,technology,land,global
s217,operations,land,middle-east
s200,operations,land,middle-east
s055,operations,space,indo-pacific
s027,operations,sea,indo-pacific
s159,operations,air,americas
s041,operations,sea,americas
s241,technology,air,global
s067,operations,space,global
s010,operations,sea,global
s086,technology,cyber,global
s249,technology,air,americas
s296,technology,multi,americas
s237,operations,air,middle-east
s090,policy,cyber,global
s012,operations,air,middle-east
s265,technology,air,americas
s276,technology,air,global
s222,operations,air,africa
s119,operations,cyber,americas
s106,operations,cyber,americas
s091,operations,cyber,indo-pacific
s128,procurement,land,global
s097,operations,cyber,americas
s280,policy,land,global
s061,operations,space,global
s181,operations,land,americas
s022,operations,sea,global
s050,operations,sea,indo-pacific
s236,operations,air,middle-east
s214,operations,land,americas
s060,policy,space,global
s068,operations,air,americas
s262,industry,sea,global
s026,operations,sea,americas
s140,procurement,multi,americas
s165,industry,air,americas
s084,operations,cyber,global
s049,operations,sea,middle-east
s098,operations,cyber,americas
s199,operations,land,global
s170,operations,air,indo-pacific
s164,operations,air,americas
s032,operations,sea,europe
s013,operations,sea,indo-pacific
s283,technology,sea,americas
s169,operations,air,middle-east
s047,operations,sea,indo-pacific
s145,technology,land,americas
s029,operations,sea,europe
s155,technology,land,americas
s122,policy,cyber,global
s052,technology,space,global
s251,operations,air,global
s139,operations,sea,americas
s136,procurement,air,americas
s074,operations,space,americas
s233,operations,air,middle-east
s282,technology,air,global
s129,policy,multi,global
s023,operations,sea,global
s246,operations,multi,americas
s254,technology,air,americas
s005,operations,sea,indo-pacific
s028,operations,sea,europe
s202,operations,air,global
s114,policy,multi,global
s230,operations,land,middle-east
s258,policy,multi,global
s058,technology,space,indo-pacific
s133,procurement,air,americas
s153,policy,land,americas
s298,policy,land,americas
s194,operations,land,americas
s064,procurement,space,americas
s062,technology,space,americas
s263,technology,air,global
s207,operations,land,americas
s160,procurement,air,americas
s268,technology,air,americas
s269,technology,air,americas
s166,technology,air,americas
s227,operations,land,middle-east
s142,policy,multi,americas
s243,technology,air,americas
s143,procurement,land,americas
s240,operations,multi,middle-east
s218,operations,land,europe
s175,operations,multi,indo-pacific
s234,operations,air,middle-east
s104,operations,cyber,americas
s063,operations,space,americas
